"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"ATXN1",417.766947070917,-0.00509417172953569,0.132963628837722,-0.0383125203039772,0.969438508357087,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ATXN1-AS1",22.7111759794785,-0.0555139388099961,0.438653091698836,-0.126555448623419,0.899292260170205,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RBM24",803.229619781831,-0.000449480970085252,0.159523762632643,-0.00281764273025789,0.997751849342389,0.999884375541014,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"CAP2",621.077238843824,-0.0284528300159066,0.137837030452738,-0.206423701399041,0.836459958449259,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FAM8A1",281.737090031295,0.120221419278506,0.133745419113238,0.898882519308703,0.368715239977632,0.992136704877703,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NUP153",2223.24705938501,-0.0394884681390771,0.0545007794356057,-0.724548686239137,0.468728948725458,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NUP153-AS1",14.4858799667814,0.477355863932583,0.509480476308402,0.936946332843629,0.34878616439782,0.988124228165731,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"KIF13A",913.08785967032,0.0815456158140613,0.135907262895814,0.600009256875213,0.548500066280146,0.996219315932303,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NHLRC1",36.6234724568593,0.0735297023464537,0.384334525879938,0.191316931982904,0.848277296296252,0.996862745993112,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TPMT",289.324780028301,-0.170367936500158,0.132984972123979,-1.28110668280118,0.200156196876426,0.9584269816426,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"KDM1B",331.363174282615,-0.172038562672774,0.13794290039364,-1.24717228782226,0.2123343317599,0.964815038322699,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"DEK",3847.28082484311,0.0368147810610383,0.0808415703423126,0.455394185258292,0.648825677786101,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RNF144B",47.1083757268059,0.566935207981837,0.319462347038078,1.77465423777864,0.0759549957648837,0.884198449569989,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
