"","AHT_CIM7_R3","AHT_CIM7_R2","AHT_CIM7_R1","AHT_None_R3","AHT_None_R2","AHT_None_R1","WT_CIM7_R3","WT_CIM7_R2","WT_CIM7_R1","WT_None_R3","WT_None_R2","WT_None_R1"
"SNX4",523.893109345415,520.339421021676,553.834990229871,493.497927882126,519.187546225269,512.027453715493,532.109641270501,491.128122642652,500.489405862763,541.551734640399,527.588171979704,513.793279801097
"OSBPL11",506.73791936685,539.347253753062,562.371945763279,615.564553153323,501.106387899016,547.584915779069,522.774384406106,511.807201490763,477.232463211148,576.139892874731,532.156034940568,539.005947377543
"LOC112267908",5.27851999340469,5.93994772855795,3.20135832502815,0.871904466222838,6.45755654509041,3.04778246259222,0.933525686439475,0,0.930277706064615,0,2.28393148043162,5.45138758409652
"LOC105374312",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124909424",0,0,0,0,0,0,0,0,0,0,0,0
"MIR548I1",0,0,0,0,0,0,0,0,0,0,0,0
"LINC02614",0,1.18798954571159,0,0,1.29151130901808,0,0.933525686439475,0,0.930277706064615,0,1.14196574021581,0
"LOC102723696",5.27851999340469,0,4.2684777667042,6.9752357297827,1.29151130901808,4.06370995012296,1.86705137287895,2.95415412115881,1.86055541212923,0.988233092409487,3.42589722064743,7.49565792813271
"FAM86JP",98.9722498763379,97.4151427483504,103.510585842577,98.5252046831806,98.1548594853743,112.767951115912,105.488402567661,135.152551043015,124.657212612658,120.564437273957,124.474265683523,124.019067538196
"ALG1L1P",15.8355599802141,15.4438640942507,11.7383138584366,12.2066625271197,15.498135708217,19.3026222630841,24.2716678474263,14.0322320755043,10.2330547667108,17.7881956633708,10.2776916619423,17.0355862003016
"ROPN1B",0,1.18798954571159,0,0,0,0,0,0,0,0,0,2.72569379204826
"SLC41A3",447.354569441047,383.720623264844,490.874943170984,445.54318223987,437.82233375713,525.234511053393,440.624123999432,430.567963158896,451.184687441338,488.187147650287,424.811255360281,435.42958327971
"LOC124909425",0,0,0,0,0,0,0,0,0,0,0,2.04427034403619
"ALDH1L1-AS1",1.31962999835117,0,0,4.35952233111419,2.58302261803617,6.09556492518445,0.933525686439475,5.90830824231761,1.86055541212923,1.97646618481897,1.14196574021581,0.681423448012065
"ALDH1L1",2.63925999670234,4.75195818284636,0,1.74380893244568,6.45755654509041,7.11149241271519,3.7341027457579,4.43123118173821,1.86055541212923,0.988233092409487,5.70982870107905,4.08854068807239
"LOC105374083",0,0,0,0,0,0,0,0,0,0,0,0
"ALDH1L1-AS2",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124909426",0,0,3.20135832502815,0,0,1.01592748753074,0,0,0,0.988233092409487,0,2.72569379204826
"LOC107986124",0,0,0,0,0,0,0,0.738538530289702,1.86055541212923,0.988233092409487,0,0.681423448012065
"KLF15",11.8766699851605,11.8798954571159,6.40271665005631,11.3347580608969,23.2472035623255,6.09556492518445,9.33525686439475,11.0780779543455,1.86055541212923,9.88233092409487,12.5616231423739,5.45138758409652
"LOC105374088",0,0,0,0,0,0,0,0,0,0,0,0
"LOC107986044",0,0,0,0,0,0,0,0,0,0,0,0
"CFAP100-DT",0,0,0,0,0,0,0,0,0,0,0,0
"CFAP100",0,2.37597909142318,0,0,0,0,0,0,0,0.988233092409487,0,0
"LOC124906280",0,0,0,0,1.29151130901808,0,0,0,0,0,0,0
"ZXDC",431.519009460833,393.224539630536,371.357565703266,428.105092915413,404.24303972266,372.845387923782,435.022969880795,349.328724827029,413.973579198754,368.610943468739,391.694248894023,391.818482606937
"UROC1",2.63925999670234,0,0,0,0,0,0,1.4770770605794,0,0,0,0
"CHST13",18.4748199769164,14.2558745485391,4.2684777667042,11.3347580608969,9.04057916312658,15.2389123129611,21.4710907881079,14.770770605794,13.0238878849046,12.8470302013233,14.8455546228055,10.902775168193
"C3orf22",0,2.37597909142318,0,0,0,0,0,0,0,0,0,0
"LOC105374090",10.5570399868094,2.37597909142318,3.20135832502815,2.61571339866851,6.45755654509041,3.04778246259222,8.40173117795527,3.69269265144851,2.79083311819385,2.96469927722846,4.56786296086324,2.04427034403619
"TXNRD3",116.127439854903,104.54308002262,97.1078691925207,95.0375868182893,107.195438648501,82.29012648999,96.1531457032659,100.441240119399,118.145268670206,96.8468430561297,85.6474305161858,80.4079668654237
"NUP210P1",0,0,0,0,0,0,0,0,0,0,0,0
"CHCHD6",150.437819812034,143.746735031102,135.524169092859,172.637084312122,158.855891009224,129.022790916404,163.366995126908,163.217015194024,157.21693232492,145.270264584195,151.881443448703,122.656220642172
"PLXNA1",1499.09967812693,1533.69450351366,1523.8465627134,1543.27090521442,1498.15311846098,1556.40091089709,1441.36365986255,1683.12931053023,1644.73098432224,1501.12606737001,1739.21382234868,1673.57598831763
"PRR23E",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124906281",0,0,0,0,0,0,0,0,0,0,0,0
"PRR20G",13.1962999835117,20.195822277097,44.8190165503942,12.2066625271197,21.9556922533074,25.3981871882685,26.1387192203053,20.6790788481116,29.7688865940677,23.7175942178277,22.8393148043162,36.1154427446394
"LINC02016",0,0,0,0,0,0,0,0.738538530289702,0,0,0,0.681423448012065
"LOC105374094",0,0,0,0,0,0,0,0,0,0,0,0
"LINC01471",0,0,0,0,0,0,0,0.738538530289702,0,0,0,1.36284689602413
"LINC02034",2.63925999670234,0,0,1.74380893244568,3.87453392705425,1.01592748753074,5.60115411863685,1.4770770605794,0,1.97646618481897,1.14196574021581,1.36284689602413
"TPRA1",1322.26925834787,1148.78589070311,1326.42946600333,1227.64148844176,1358.66989708702,1312.57831388972,1361.08045082875,1269.547733568,1409.37072468789,1299.52651651848,1283.56949200257,1417.3607718651
"MIR6825",0,0,0,0,0,0,0,0,0,0.988233092409487,0,0
"MIR7976",1.31962999835117,0,0,0,0,0,0,0.738538530289702,0,0,0,0
"MCM2",1997.91981750367,1923.35507450706,2195.06469152764,2083.85167427258,2018.63217599526,2337.64914880823,1967.87214701441,1977.06764558553,2242.89954932179,1982.39558337343,1905.94082042019,2089.24429160499
"LOC107986126",0,0,0,0,0,0,0,0,0,0,0,0
"PODXL2",427.56011946578,414.608351453345,467.39831545411,367.943684746037,401.660017104624,480.53370160204,378.077903007987,432.783578749765,435.36996643824,391.340304594157,435.088947022224,459.279403960132
"ABTB1",277.122299653746,296.997386427898,361.753490728181,279.009429191308,262.176795730671,315.95344862206,294.994116914874,297.63102770675,295.828310528548,280.658198244294,271.787846171363,302.552010917357
"MGLL",2401.72659699913,2621.89292738548,3470.27242433052,2133.55022884728,2588.18866327224,3480.56757228032,2536.38929005605,2598.91708808946,3166.66531144395,2560.51194243298,2568.28094974536,3439.8255655649
"LOC107986127",31.6711199604281,42.7676236456172,43.7518971087181,27.9009429191308,51.6604523607233,38.6052445261681,47.6098100084132,57.6060053625967,29.7688865940677,37.5528575115605,52.5304240499273,56.5581461850014
"LOC107986129",0,0,0,0,0,0,0,0.738538530289702,0,0,0,0
"LOC105374096",0,0,0,0,0,0,1.86705137287895,0,0,0,0,0
"LOC124909427",0,0,0,0,0,0,0,0,0,0,0,0
"KBTBD12",0,0,0,0,0,0,0,0,0,0,0,0
"LOC102723759",0,3.56396863713477,2.1342388833521,2.61571339866851,0,7.11149241271519,1.86705137287895,3.69269265144851,4.65138853032308,1.97646618481897,0,3.40711724006032
"SEC61A1",5389.36891326619,6209.62135543448,6255.45416710501,5545.31240517725,5939.66051017416,6052.89597070815,6195.80998089879,6090.72725929917,6230.06979751473,5794.99885388923,6232.84901009789,6330.42383203208
"RUVBL1",1776.22197778068,1589.53001216211,1501.4370544382,1932.14029714981,1857.193262368,1615.32470517388,1945.46753053987,1776.18516534673,1632.6373741434,1824.27828858791,1701.52895292156,1516.84859527486
"RUVBL1-AS1",1.31962999835117,0,1.06711944167605,0.871904466222838,0,0,0,0,0,0,2.28393148043162,0
